date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:11:25	16372/16372	---M--	200	added ('OK')	font/woff2	etag:%2269834cd3-3ff4%22	http://cdn2.editmysite.com/fonts/Open_Sans/bold.woff2	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/bold.woff2	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:26	20172/20172	---M--	200	added ('OK')	font/woff	etag:%2269834cd3-4ecc%22	http://cdn2.editmysite.com/fonts/Open_Sans/bold.woff	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/bold.woff	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:27	31420/31420	---M-Z	200	added ('OK')	application/octet-stream	etag:%22697b7a96-7abc%22	http://cdn2.editmysite.com/fonts/Open_Sans/bold.ttf	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/bold.ttf	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:29	19623/19623	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22697b7a96-4ca7%22	http://cdn2.editmysite.com/fonts/Open_Sans/lightitalic.eot	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/lightitalic.eot	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:29	18311/18311	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2269834cd3-4787%22	http://cdn2.editmysite.com/fonts/Open_Sans/light.eot?	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/lightd41d.eot	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:29	17872/17872	---M--	200	added ('OK')	font/woff2	etag:%2269834cd3-45d0%22	http://cdn2.editmysite.com/fonts/Open_Sans/lightitalic.woff2	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/lightitalic.woff2	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:30	21924/21924	---M--	200	added ('OK')	font/woff	etag:%2269834cd3-55a4%22	http://cdn2.editmysite.com/fonts/Open_Sans/lightitalic.woff	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/lightitalic.woff	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:32	19613/19613	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2269777aa7-4c9d%22	http://cdn2.editmysite.com/fonts/Open_Sans/italic.eot	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/italic.eot	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:32	33520/33520	---M-Z	200	added ('OK')	application/octet-stream	etag:%22697bd452-82f0%22	http://cdn2.editmysite.com/fonts/Open_Sans/lightitalic.ttf	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/lightitalic.ttf	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:32	19613/19613	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2269777aa7-4c9d%22	http://cdn2.editmysite.com/fonts/Open_Sans/italic.eot?	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/italicd41d.eot	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:33	17820/17820	---M--	200	added ('OK')	font/woff2	etag:%2269834cd3-459c%22	http://cdn2.editmysite.com/fonts/Open_Sans/italic.woff2	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/italic.woff2	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:36	18276/18276	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2269777aa7-4764%22	http://cdn2.editmysite.com/fonts/Open_Sans/regular.eot?	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/regulard41d.eot	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:36	21856/21856	---M--	200	added ('OK')	font/woff	etag:%22697b7a96-5560%22	http://cdn2.editmysite.com/fonts/Open_Sans/italic.woff	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/italic.woff	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
